number,name,region,dong_id
1,Z기지PC 동대구역점,대구광역시 동구 신천동,2
2,황금PC,대구광역시 서구 비산동,3
3,미남 PC,대구광역시 남구 봉덕동,4
4,드론PC,대구광역시 달서구 상인동,3
5,복덩이PC,대구광역시 달성군 현풍읍,8
6,대박pc,대구광역시 군위군 군위읍,9
7,땡큐게임장,대구광역시 달성군 현풍읍,8
8,넘버원PC,대구광역시 서구 비산동,3
9,땡큐PC,대구광역시 달성군 현풍읍,8
10,코바(KOVA)PC카페,대구광역시 달성군 유가읍,8
11,마르세유 피씨카페,대구광역시 남구 대명동,4
12,올킬피씨,대구광역시 달서구 감삼동,3
13,마카오PC,대구광역시 동구 효목동,2
14,꿀꿀PC,대구광역시 동구 효목동,2
15,투전PC,대구광역시 달서구 이곡동,3
16,고피시,대구광역시 동구 효목동,2
17,상인 PC,대구광역시 달서구 상인동,3
18,편안한 PC,대구광역시 달성군 구지면,8
19,마카오PC,대구광역시 중구 향촌동,1
20,준PC,대구광역시 북구 관음동,5
21,올인PC,대구광역시 동구 율하동,2
22,흰둥이PC,대구광역시 수성구 두산동,6
23,팽피시카페(테크노점),대구광역시 달성군 유가읍,8
24,클락PC,대구광역시 북구 산격동,5
25,짱PC,대구광역시 북구 동천동,5
26,PC두꺼비,대구광역시 수성구 두산동,6
27,오빠야PC,대구광역시 서구 평리동,3
28,팡팡PC,대구광역시 달서구 대곡동,3
29,파이널PC,대구광역시 남구 봉덕동,4
30,벤츠PC,대구광역시 동구 지저동,2
31,1등PC,대구광역시 북구 태전동,5
32,히든,대구광역시 서구 비산동,3
33,짱PC,대구광역시 서구 평리동,3
34,마카오PC,대구광역시 달서구 이곡동,3
35,홈런PC,대구광역시 남구 봉덕동,4
36,여동생PC,대구광역시 수성구 두산동,6
37,지원(G1)PC,대구광역시 달서구 본동,3
38,여사친PC,대구광역시 수성구 두산동,6
39,짱구PC,대구광역시 동구 효목동,2
40,춘향PC,대구광역시 남구 봉덕동,4
41,빙그레PC,대구광역시 달서구 상인동,3
42,프라이빗존,대구광역시 중구 공평동,1
43,태백PC,대구광역시 동구 효목동,2
44,바다,대구광역시 수성구 상동,6
45,맥 피씨 카페 동성로점,대구광역시 중구 공평동,1
46,욜로PC방 대구대실역점,대구광역시 달성군 다사읍,8
47,스마일PC,대구광역시 서구 원대동,3
48,미소PC,대구광역시 달서구 이곡동,3
49,마리오PC,대구광역시 수성구 두산동,6
50,우리집PC,대구광역시 수성구 두산동,6
51,팔공PC,대구광역시 달서구 용산동,3
52,맥스PC,대구광역시 동구 동호동,2
53,Lemon PC,대구광역시 수성구 두산동,6
54,낙원PC,대구광역시 서구 비산동,3
55,우정PC,대구광역시 달서구 죽전동,3
56,세븐슬롯PC,대구광역시 북구 관음동,5
57,팽 피씨 카페,대구광역시 중구 대봉동,1
58,꿀PC,대구광역시 달서구 상인동,3
59,보광,대구광역시 달서구 상인동,3
60,쩐PC,대구광역시 북구 복현동,5
61,말자PC,대구광역시 북구 노원동,5
62,잭팟PC,대구광역시 달서구 송현동,3
63,아쿠아PC,대구광역시 달서구 송현동,3
