title,year
서배너 시트법인 IT MES 담당자 모집,2025
모빌리티품질관리 부문 신입·경력 모집,2024
23년 하반기 경력ㆍ신입 채용,2023
2023년 상반기 연구직 경력 채용,2023
데이터라벨링 부문 계약직 모집,2024
[현대트랜시스] 계약직 모집,2024
모빌리티품질관리 부문 경력 모집,2024
HYUNDAI TRANSYS 26년 상반기 경력 채용,2026
25년 상반기 경력 채용,2025
현대트랜시스 24년 상반기 경력 및 신입채용,2024
'23년 하반기 경력 모집(전략지원),2023
'23년 하반기 경력 모집(시트설계),2023
'23년 하반기 경력 모집(시트전장설계 - 제어기 프로세스 운영/관리),2023
'23년 하반기 경력 모집(시트전장설계 - 제어기 SW설계),2023
'23년 하반기 경력 모집(시트연구기획 - 특허),2023
'23년 하반기 경력 모집(시트연구기획 - 기획),2023
'23년 하반기 경력 모집,2023
'23년 상반기 경력 추가채용 (파워트레인 프로젝트 관리),2023
'23년 상반기 경력 추가채용 (고정밀 감속기 시험 분석 및 개발),2023
'23년 상반기 경력 추가채용 (UAM 전기추진체 시험 분석 및 개발),2023
'23년 상반기 경력 추가채용 (구동 모터 시험),2023
'23년 상반기 경력 추가채용 (전동화 변속기 시험),2023
'23년 상반기 경력 추가채용 (로봇용 구동모듈개발),2023
'23년 상반기 경력 추가채용 (UAM전기추진체설계),2023
'23년 상반기 경력 추가채용 (신뢰성 검증해석 (강도/내구)),2023
'23년 상반기 경력 추가채용 (열유동해석),2023
'23년 상반기 경력 추가채용 (전동화차량 성능개발),2023
'23년 상반기 경력 추가채용 (전동화차량 제어개발),2023
'23년 상반기 경력 추가채용 (기능안전(ISO26262)),2023
'23년 상반기 경력 추가채용 (SW검증),2023
'23년 상반기 경력 추가채용 (SW개발),2023
'23년 상반기 경력 추가채용 (SW프로세스 및 관리),2023
'23년 상반기 경력 추가채용 (파워트레인 안전 설계),2023
'23년 상반기 경력 추가채용 (파워트레인 기능 및 성능 개발),2023
'23년 상반기 경력 추가채용 (모터제어 SW개발),2023
'23년 상반기 경력 추가채용 (전력변환 회로설계),2023
'23년 상반기 경력 추가채용 (인버터 BSW개발),2023
'23년 상반기 경력 추가채용 (모터 제어 SW개발 프로세스 관리),2023
'23년 상반기 경력 추가채용 (모터 기구설계),2023
'23년 상반기 경력 추가채용 (모터 전자계 설계),2023
'23년 상반기 경력 추가채용 (동력시스템 설계),2023
'23년 상반기 경력 추가채용,2023
시험실 야간 당직 계약직 모집(충남 서산),2025
슬로바키아 법인 구매개발 담당 모집(현채인 채용),2025
HYUNDAI TRANSYS 25년 하반기 신입 · 경력 채용,2025
시트시험 부문 계약직 모집,2025
[현대트랜시스] 화성연구소 감속기부문 연구계약직 모집,2025
계약직 모집 - 시트편의시험(컴포트 시험실),2025
계약직 모집 - 시트편의시험(정하중 시험실),2025
계약직 모집,2025
[현대트랜시스] 계약직 모집,2025
모빌리티품질관리 부문 경력 모집,2024
계약직 모집 - 글로벌물류,2024
계약직 모집 - 시트생산지원,2024
계약직 모집 - 시트생산기술,2024
계약직 모집 - 시트품질보증,2024
계약직 모집 - 시트시험,2024
계약직 모집 - 시트재료시험,2024
계약직 모집,2024
[현대트랜시스] 계약직 모집,2024
시험실 야간 당직 계약직 모집(충남 서산),2024
시험실 야간 당직 계약직 모집(충남 서산),2024
주말 모니터링 연구지원 계약직 채용(화성),2024
시트부문 계약직 모집 - 시트 해외영업(KD),2024
시트부문 계약직 모집 - 시트 R&D/시제품 조립,2024
시트부문 계약직 모집 - 시트 R&D/시제품 가공,2024
시트부문 계약직 모집 - 시트 해외선행품질,2024
시트부문 계약직 모집 - 시트 품질보증,2024
시트부문 계약직 모집 - 시트 시험(작동 내구),2024
시트부문 계약직 모집,2024
시트부문 계약직 모집 - 시트 해외영업(KD),2024
시트부문 계약직 모집 - 시트 생산기술(우레탄 발포),2024
시트부문 계약직 모집 - 시트 R&D/시제품 조립,2024
시트부문 계약직 모집 - 시트 R&D/시제품 가공,2024
시트부문 계약직 모집 - 시트 해외선행품질,2024
시트부문 계약직 모집 - 시트 해석(컴포트),2024
시트부문 계약직 모집 - 시트 품질보증,2024
시트부문 계약직 모집 - 시트 시험(작동 내구),2024
현대트랜시스 전자파 설계 경력사원 모집,2024
시트부문 계약직 모집,2024
시트R&D(시제품 가공) 계약직 모집,2024
야간 내구시험 모니터링 연구지원 계약직 채용(경기 화성),2024
시트부문 계약직 모집,2024
시험실 야간 당직 계약직 모집(충남 서산),2024
시험실 야간 당직 계약직 모집(충남 서산),2024
야간 내구시험 모니터링 연구지원 계약직 채용(경기 화성),2024
경력 상시모집(경영지원-인사/교육/노무),2024
경력 상시모집(경영지원-기획),2024
경력 상시모집(재경-원가),2024
경력 상시모집(재경-재무/회계/세무),2024
경력 상시모집(구매개발-시트),2024
경력 상시모집(구매개발-파워트레인),2024
경력 상시모집(품질-SW품질),2024
경력 상시모집(품질-시트),2024
